Object ID,Line Phrase,Word Count,Platonic Object,Word Form,Gender,Process End Year,Platonic Room,Room Phrase,Provenance
8798,Item gardacorsium et tunicam de scarlata veteres,7,garde-corps,gardacorsium,,1349,Dining hall,Aula can be imputed,Marseille
8809,Item unam zonam clavellatam letoni cum sencho viridi,8,belt,zona,,1348,,In operatorio ,Marseille
8839,Item unum capellum plume,4,cap,capellus,,1348,,,Marseille
8843,Item unum gardacorcium francesium panni viridi cum pena squirelorum,9,garde-corps,gardacorsium,,1348,,,Marseille
8844,Item unum gardacorsium panni marbati hominis,6,garde-corps,gardacorsium,male,1348,,,Marseille
8845,Item unam tunicam camelini albi hominis,6,tunic,tunica,male,1348,,,Marseille
8847,Item unum gardacorcium muliebre –foderatum– pani scacati,7,garde-corps,gardacorsium,female,1348,,,Marseille
8849,Item sex caligas mulieris,4,shoe,caliga,female,1348,,,Marseille
8850,Item quatuor capucia? pauci valoris,5,hood,capucium,,1348,,,Marseille
8851,Item unum capucium duplicem panni viridis,6,hood,capucium,,1348,,,Marseille
8852,Item gardacorcium mulieris panni rubei,5,garde-corps,gardacorsium,female,1348,,,Marseille
8853,Item unam tunicam mulieris,4,tunic,tunica,female,1348,,,Marseille
8898,Item unam tunicam de livido,5,tunic,tunica,,1348,,,Marseille
8900,Item unum mantellum de mesclato cum penna –dorsorum– grossorum variorum,10,cloak,mantellum,,1348,,,Marseille
8901,Item unam tunicam de violeto modici valoris,7,tunic,tunica,,1348,,,Marseille
9065,Item unum epitogium de bruneta nigra vetus,7,gown,epitogium,,1350,,,Marseille
9105,Item unum gardacossum,3,garde-corps,gardacorsium,,1354,,,Marseille
9108,Item unam tunicam,3,tunic,tunica,,1354,,,Marseille
9113,Item unam aliam tunicam,4,tunic,tunica,,1354,,,Marseille
9139a,Item duas zonas argenti unam hominis et unam mulieris,9,belt,zona,female,1359,,,Marseille
9139b,Item duas zonas argenti unam hominis et unam mulieris,9,belt,zona,male,1359,,,Marseille
9140,Item tres anulos auri,4,ring,anulus,,1359,,,Marseille
9150,Item unam capam albam pastoris,5,cape,capa,,1359,,,Marseille
9161,Item duos cappellos unum frachis et alium perlarum quos habet penes se dictus Hugo Berengarii cum aliss bonis mobilibus dicte hereditatis superius expressatis,23,cap,capellus,,1359,,,Marseille
9162,Item unam cotardiam et unum mantulum et capucium panni violeti,10,cotte-hardie,cotardia,,1359,,,Marseille
9175,Item capam blavam,3,cape,capa,,1359,bedroom,Item in camera,Marseille
9177,Item capa froyrata de albo et et est blanca,9,cape,capa,,1359,bedroom,Item in camera,Marseille
9192,Item 1 tunicam albam sine manicis,6,tunic,tunica,,1359,bedroom,Item in camera,Marseille
9195,Item 1 unum mantulum blavi,5,cloak,mantelletum,,1359,bedroom,Item in camera,Marseille
9196,Item 1 tunicam vipertam,4,tunic,tunica,,1359,bedroom,Item in camera,Marseille
9199,Item 1 tunicam mesclati blavi,5,tunic,tunica,,1359,bedroom,Item in camera,Marseille
9200,Item 1 giponum –albi– blavi,5,jupe,giponus,,1359,bedroom,Item in camera,Marseille
9235,Item 1 tunicam mesclati,4,tunic,tunica,,1359,bedroom,Item in alia camera,Marseille
9342,Item unum fresum argenti,4,fringe,fresium,,1387,,De frodrio,Marseille
9345,Primo una opellanda longa de burello foderata penna alba cum capucio,11,houppelande,opellanda,,1387,,De vestibus quondam Jacobi de Jerusalem,Marseille
9347,Item una opellanda brevis et antiqua de burello foderata penna alba,11,houppelande,opellanda,,1387,,De vestibus quondam Jacobi de Jerusalem,Marseille
9384,Item unum fresum argenti,4,fringe,fresium,,1387,,De frodio,Marseille
9389,Primo una zona de caneto foderata de bocassino cum capucio,10,belt,zona,,1387,,De vestibus quondam Jacobi de Jerusalem,Marseille
9390,Item unum capucium de virido,5,hood,capucium,,1387,,De vestibus quondam Jacobi de Jerusalem,Marseille
9391,Item una zopa __________ de blavo claro foderata penna alba,10,houppelande,chopa,,1387,,De vestibus quondam Jacobi de Jerusalem,Marseille
9392,Item una tunica alba foderata penna alba,7,tunic,tunica,,1387,,De vestibus quondam Jacobi de Jerusalem,Marseille
9399,Item unam cotardiam de livido,5,cotte-hardie,cotardia,,1387,,,Marseille
9402,Item unum marcipium de coreo cum tribus florenis auri et 32 solidos minus uno pacato,15,purse,marcipium,,1387,,,Marseille
9406,Item unam camiziam domine,4,chemise,camisia,female,1387,,,Marseille
9420,Item unum mantellum foderatum de blanqueto,6,cloak,mantellum,,1387,,,Marseille
9425,Item unam {cotardiam} albam,4,cotte-hardie,cotardia,,1387,,,Marseille
9426,Item duas cotardias albas,4,cotte-hardie,cotardia,,1387,,,Marseille
9427,Item unam fopellandam hominis,4,houppelande,opellanda,male,1387,,,Marseille
9470,Item unum mantulum gloriose viriginis ma marie –de sirico rubeo– operatum operibus aureis,13,cloak,mantelletum,,1388,,,Marseille
9476,Item tres albas modicis valoris sive paramenta?,7,alb,alba,,1388,,,Marseille
9477,Item unam capam de sirico modici valoris,7,cape,capa,,1388,,,Marseille
9479,Item duas cazulas de sirico modici valoris,7,chasuble,casula,,1388,,,Marseille
9480,Item unam aliam cazulam antiquam de sirico cum avibus de auro,11,chasuble,casula,,1388,,,Marseille
9483,Item –unum– quandam aliam cazulam lasseratam modici valoris cum alba amicu stola et manipulo,14,chasuble,casula,,1388,,,Marseille
9485,Item corporalem modici valoris,4,pallium,corporale,,1388,,,Marseille
9487,Item tres stolas modicis valoris,5,stole,stola,,1388,,,Marseille
9490,Item tria manipula modici valoris,5,maniple,manipulus,,1388,,,Marseille
9569,Item unum mantellum mulieris folratum penne,6,cloak,mantellum,female,1388,bedroom,In camera,Marseille
9572,Item unam tunicam panni violeti mulieris,6,tunic,tunica,female,1388,bedroom,In camera,Marseille
9607,Item unam choppam de panno scarlati dicte domine Raynaude,9,houppelande,chopa,,1391,bedroom,Primo in camera paramenti,Marseille
