id,date_of_plunder,town,lat,lon,object,category
"7054","27 November, 1342","Bozzano","43.865157","10.360812","wine","foodstuffs"
"7059","27 November, 1342","Bozzano","43.865157","10.360812","panic","foodstuffs"
"7060","27 November, 1342","Bozzano","43.865157","10.360812","millet","foodstuffs"
"7063","27 November, 1342","Bozzano","43.865157","10.360812","box","containers"
"7066","27 November, 1342","Bozzano","43.865157","10.360812","tunic","clothing"
"7067","27 November, 1342","Bozzano","43.865157","10.360812","surcoat","clothing"
"7068","27 November, 1342","Bozzano","43.865157","10.360812","tablecloth","linens"
"7069","27 November, 1342","Bozzano","43.865157","10.360812","hay","foodstuffs"
"7301","22 December, 1342","Bozzano","43.865157","10.360812","barley","foodstuffs"
"7302","22 December, 1342","Bozzano","43.865157","10.360812","saddle","equipment"
"1192","23 December, 1333","Busdagno","43.876587","10.447594","wine","foodstuffs"
"6412","15 September, 1342","Busdagno","43.876587","10.447594","grapes","foodstuffs"
"129","18 January, 1333","Camaiore","43.942098","10.306475","surcoat","clothing"
"130","18 January, 1333","Camaiore","43.942098","10.306475","tunic","clothing"
"131","18 January, 1333","Camaiore","43.942098","10.306475","surcoat","clothing"
"132","18 January, 1333","Camaiore","43.942098","10.306475","surcoat","clothing"
"133","18 January, 1333","Camaiore","43.942098","10.306475","tunic","clothing"
"134","18 January, 1333","Camaiore","43.942098","10.306475","surcoat","clothing"
"135","18 January, 1333","Camaiore","43.942098","10.306475","surcoat","clothing"
"1238","25 May, 1334","Camaiore","43.942098","10.306475","iron","materials"
"1865","13 August, 1334","Camaiore","43.942098","10.306475","grain","foodstuffs"
"1866","13 August, 1334","Camaiore","43.942098","10.306475","fava beans","foodstuffs"
"1867","13 August, 1334","Camaiore","43.942098","10.306475","barley","foodstuffs"
"1870","13 August, 1334","Camaiore","43.942098","10.306475","barley","foodstuffs"
"1871","13 August, 1334","Camaiore","43.942098","10.306475","grain","foodstuffs"
"1872","13 August, 1334","Camaiore","43.942098","10.306475","rye","foodstuffs"
"1873","13 August, 1334","Camaiore","43.942098","10.306475","grain","foodstuffs"
"1874","13 August, 1334","Camaiore","43.942098","10.306475","barley","foodstuffs"
"1877","13 August, 1334","Camaiore","43.942098","10.306475","grain","foodstuffs"
"1878","13 August, 1334","Camaiore","43.942098","10.306475","fava beans","foodstuffs"
"5031","12 August, 1338","Camaiore","43.942098","10.306475","grain","foodstuffs"
"5032","12 August, 1338","Camaiore","43.942098","10.306475","fava beans","foodstuffs"
"7468","14 December, 1342","Camaiore","43.942098","10.306475","tablecloth","linens"
"7469","14 December, 1342","Camaiore","43.942098","10.306475","bandeau","linens"
"7470","14 December, 1342","Camaiore","43.942098","10.306475","tunic","clothing"
"7471","14 December, 1342","Camaiore","43.942098","10.306475","tablecloth","linens"
"7472","14 December, 1342","Camaiore","43.942098","10.306475","barracan","clothing"
"7473","14 December, 1342","Camaiore","43.942098","10.306475","panic","foodstuffs"
"7474","14 December, 1342","Camaiore","43.942098","10.306475","panic","foodstuffs"
"7475","14 December, 1342","Camaiore","43.942098","10.306475","tunic","clothing"
"7500","14 December, 1342","Camaiore","43.942098","10.306475","wine","foodstuffs"
"1502","02 July, 1334","Camigliano","43.889334","10.606004","grain","foodstuffs"
"1503","02 July, 1334","Camigliano","43.889334","10.606004","grain","foodstuffs"
"1673","03 August, 1334","Camigliano","43.889334","10.606004","grain","foodstuffs"
"1674","03 August, 1334","Camigliano","43.889334","10.606004","fava beans","foodstuffs"
"1675","03 August, 1334","Camigliano","43.889334","10.606004","grain","foodstuffs"
"1676","03 August, 1334","Camigliano","43.889334","10.606004","fava beans","foodstuffs"
"1677","03 August, 1334","Camigliano","43.889334","10.606004","grain","foodstuffs"
"1704","03 August, 1334","Camigliano","43.889334","10.606004","grain","foodstuffs"
"1705","03 August, 1334","Camigliano","43.889334","10.606004","guarnellum","clothing"
"1707","03 August, 1334","Camigliano","43.889334","10.606004","pan","tools and implements"
"1708","03 August, 1334","Camigliano","43.889334","10.606004","grain","foodstuffs"
"2677","06 March, 1335","Camigliano","43.889334","10.606004","wine","foodstuffs"
"2678","06 March, 1335","Camigliano","43.889334","10.606004","wine","foodstuffs"
"2679","06 March, 1335","Camigliano","43.889334","10.606004","wine","foodstuffs"
"4554","17 June, 1338","Camigliano","43.889334","10.606004","shoes","clothing"
"4556","17 June, 1338","Camigliano","43.889334","10.606004","tunic","clothing"
"4558","17 June, 1338","Camigliano","43.889334","10.606004","tablecloth","linens"
"4559","17 June, 1338","Camigliano","43.889334","10.606004","bandeau","linens"
