location,latitude,longitude
"S. Donato ad Asso; Citigliano","43.10943","11.69546"
"S. Miniato","43.68175","10.85604"
"Montemagno Pisano","43.7222","10.54101"
"S. Eustachio; Corsanico","44.02738","10.17955"
"Valdottavo","43.943494","10.477512"
"Focchia","43.99657","10.41076"
"Barbamento","44.00162","10.40475"
"Petraja di Gugliano","43.94456","10.86004"
"Petrojo","43.57309","11.19148"
"Mutigliano","43.885056","10.477252"
"Eremo di Calci","43.72362","10.55305"
"Fabiano","44.1053","9.80475"
"S. Biagio di Compito","43.79998","10.56489"
"S. Filippo","43.838404","10.528313"
"Migliano","44.11717","10.45628"
"Vado di Camaiore","43.95121","10.30746"
"Gragnano e Torri","43.53084","11.89976"
"Gualdo","44.19743","10.07864"
"Gualdo","44.14609","11.91394"
"Pontremoli","44.3784","9.88423"
"Capavoli","43.57362","10.66557"
"Salissina","43.82875","10.47251"
"Monte Catino","43.90612","10.48358"
"Querce","43.908966","10.478054"
"Villa Orbana","43.89823","10.52122"
"Barga di Versilia","43.96167","10.26673"
"Vicascio di Calci","43.72384","10.49002"
"Guamo","43.81036","10.51421"
"Mugnano","43.830777","10.527752"
"Calcesana","43.70907","10.41616"
"Casale di Compito","43.80891","10.52639"
"Castagnola","44.21531","10.18084"
"Castagnola","44.04062","10.13236"
"S. Cerbone","43.81314","10.47418"
"Ceriliano","43.89507","10.56181"
"Cillano di Carraia","43.82719","10.56354"
"Collecchio","43.59987","10.70647"
"Collecchio","43.85552","10.98004"
"Fabrio","44.138","10.41886"
"Figline","43.85914","10.45178"
"Filetta","43.89256","10.43472"
"S. Pietro di Guamo","43.810178","10.503314"
"S. Lorenzo a Vaccoli","43.798435","10.484161"
"Vico di Gundualdo","43.83462","10.54148"
"Pozzuolo","43.819125","10.466806"
"Stabbiano","43.878155","10.397871"
"S. Lucia","43.94209","10.2723"
"Fibbiano","43.923616","10.392608"
"S. Margherita","43.837512","10.556709"
"S. Leonardo in Treponzio","43.80506","10.56738"
"Tassignano","43.835583","10.572517"
"Mezzana di Montuolo","43.84496","10.45328"
"Mezzano di Brancoli","43.93736","10.53366"
"Turchetto","43.83228","10.63904"
"Montecatini Terme","43.8871","10.77838"
"Monte del Castello","43.39747","12.05979"
"Bargi di Villa","44.01279","10.59165"
"Oliveto di Arliano","43.85307","10.40657"
"Decimo","43.40867","10.86368"
"Chiatri Vecchio","43.867564","10.377732"
"Borghicciolo","43.84266","10.51075"
"Pulia di Lucca","43.8362955","10.497549"
"Bozzano","43.924612","10.420791"
"Casella","43.888273","10.326047"
"S. Colombano di Compito","43.783793","10.560176"
"Fondora","43.887629","10.459523"
"S. Michele in Foro","43.84318","10.50253"
"Mastiano","43.910796","10.489255"
"S. Alessandro Maggiore","43.84226","10.50113"
"S. Salvatore in Muro","43.84551","10.50193"
"Collechio","43.916969","10.515063"
"S. Cassiano in Podio","43.84257","10.50155"
"S. Maria Corteorlandini","43.84463","10.50132"
"S. Pietro Somaldi","43.84555","10.50806"
"Piaggione","43.938142","10.504248"
"Piaggiori","43.885337","10.598545"
"Piaggiori","43.955379","10.423748"
"S. Maria Annunciata","43.842417","10.509657"
"S. Jacopo alla Tomba","43.848211","10.512308"
"S. Pietro Maggiore","43.839194","10.502419"
"S. Bartolomeo in Silice","43.843244","10.512917"
"S. Cristoforo","43.842983","10.504517"
"S. Donnino","43.842039","10.505789"
"S. Frediano","43.846131","10.50455"
"S. Giorgio","43.845403","10.499942"
"S. Gregorio","43.844064","10.506828"
"S. Leonardo","43.847567","10.509325"
"S. Maria Forisportam","43.842139","10.508608"
"S. Tommaso","43.844978","10.498089"
"S. Salvatore in Mustolio","43.844136","10.502925"
"S. Piercigoli","43.844228","10.505986"
"Borgo","43.847197","10.509839"
"S. Lorenzo Corvariense","43.841931","10.506264"
"S. Maria in Palazzo","43.841806","10.503206"
"S. Matteo","43.843842","10.500603"
"S. Michele degli Avvocati","43.841969","10.506806"
"Contrada S. Donato","43.843522","10.496267"
"Porta S. Pietro","43.841597","10.503828"
